"Prob","truePositive","falsePositive","species","Model"
0,1,1,"All","ElasticNet"
0.00918917928181925,1,0.981373690337602,"All","ElasticNet"
0.0183783585636385,0.984496124031008,0.883585564610012,"All","ElasticNet"
0.0275675378454578,0.961240310077519,0.79743888242142,"All","ElasticNet"
0.036756717127277,0.945736434108527,0.713620488940629,"All","ElasticNet"
0.0459458964090963,0.930232558139535,0.634458672875437,"All","ElasticNet"
0.0551350756909155,0.914728682170543,0.564610011641444,"All","ElasticNet"
0.0643242549727348,0.883720930232558,0.486612339930151,"All","ElasticNet"
0.073513434254554,0.837209302325581,0.422584400465658,"All","ElasticNet"
0.0827026135363733,0.790697674418605,0.381839348079162,"All","ElasticNet"
0.0918917928181925,0.75968992248062,0.342258440046566,"All","ElasticNet"
0.101080972100012,0.720930232558139,0.30384167636787,"All","ElasticNet"
0.110270151381831,0.720930232558139,0.275902211874272,"All","ElasticNet"
0.11945933066365,0.682170542635659,0.243306169965076,"All","ElasticNet"
0.12864850994547,0.65891472868217,0.225844004656577,"All","ElasticNet"
0.137837689227289,0.651162790697674,0.208381839348079,"All","ElasticNet"
0.147026868509108,0.627906976744186,0.19557625145518,"All","ElasticNet"
0.156216047790927,0.62015503875969,0.186263096623981,"All","ElasticNet"
0.165405227072747,0.612403100775194,0.171129220023283,"All","ElasticNet"
0.174594406354566,0.604651162790698,0.164144353899884,"All","ElasticNet"
0.183783585636385,0.581395348837209,0.155995343422584,"All","ElasticNet"
0.192972764918204,0.573643410852713,0.143189755529686,"All","ElasticNet"
0.202161944200024,0.558139534883721,0.133876600698487,"All","ElasticNet"
0.211351123481843,0.542635658914729,0.128055878928987,"All","ElasticNet"
0.220540302763662,0.534883720930233,0.117578579743888,"All","ElasticNet"
0.229729482045481,0.51937984496124,0.112922002328289,"All","ElasticNet"
0.238918661327301,0.51937984496124,0.10244470314319,"All","ElasticNet"
0.24810784060912,0.503875968992248,0.0977881257275902,"All","ElasticNet"
0.257297019890939,0.488372093023256,0.0931315483119907,"All","ElasticNet"
0.266486199172758,0.48062015503876,0.0931315483119907,"All","ElasticNet"
0.275675378454578,0.465116279069767,0.0861466821885914,"All","ElasticNet"
0.284864557736397,0.457364341085271,0.0838183934807916,"All","ElasticNet"
0.294053737018216,0.441860465116279,0.0779976717112922,"All","ElasticNet"
0.303242916300035,0.418604651162791,0.0710128055878929,"All","ElasticNet"
0.312432095581855,0.387596899224806,0.0651920838183935,"All","ElasticNet"
0.321621274863674,0.37984496124031,0.0582072176949942,"All","ElasticNet"
0.330810454145493,0.372093023255814,0.0558789289871944,"All","ElasticNet"
0.339999633427312,0.364341085271318,0.0488940628637951,"All","ElasticNet"
0.349188812709132,0.356589147286822,0.0465657741559953,"All","ElasticNet"
0.358377991990951,0.348837209302326,0.0454016298020955,"All","ElasticNet"
0.36756717127277,0.341085271317829,0.039580908032596,"All","ElasticNet"
0.376756350554589,0.333333333333333,0.039580908032596,"All","ElasticNet"
0.385945529836409,0.333333333333333,0.0360884749708964,"All","ElasticNet"
0.395134709118228,0.302325581395349,0.0314318975552969,"All","ElasticNet"
0.404323888400047,0.294573643410853,0.030267753201397,"All","ElasticNet"
0.413513067681866,0.286821705426357,0.0267753201396973,"All","ElasticNet"
0.422702246963686,0.271317829457364,0.0256111757857974,"All","ElasticNet"
0.431891426245505,0.232558139534884,0.0244470314318976,"All","ElasticNet"
0.441080605527324,0.217054263565891,0.019790454016298,"All","ElasticNet"
0.450269784809143,0.209302325581395,0.019790454016298,"All","ElasticNet"
0.459458964090963,0.201550387596899,0.019790454016298,"All","ElasticNet"
0.468648143372782,0.186046511627907,0.019790454016298,"All","ElasticNet"
0.477837322654601,0.186046511627907,0.0186263096623981,"All","ElasticNet"
0.48702650193642,0.178294573643411,0.0151338766006985,"All","ElasticNet"
0.49621568121824,0.147286821705426,0.0151338766006985,"All","ElasticNet"
0.505404860500059,0.131782945736434,0.0139697322467986,"All","ElasticNet"
0.514594039781878,0.124031007751938,0.0116414435389988,"All","ElasticNet"
0.523783219063697,0.124031007751938,0.0116414435389988,"All","ElasticNet"
0.532972398345517,0.116279069767442,0.0116414435389988,"All","ElasticNet"
0.542161577627336,0.116279069767442,0.0116414435389988,"All","ElasticNet"
0.551350756909155,0.108527131782946,0.00931315483119907,"All","ElasticNet"
0.560539936190974,0.10077519379845,0.00814901047729918,"All","ElasticNet"
0.569729115472794,0.10077519379845,0.00814901047729918,"All","ElasticNet"
0.578918294754613,0.0930232558139535,0.0069848661233993,"All","ElasticNet"
0.588107474036432,0.0930232558139535,0.0069848661233993,"All","ElasticNet"
0.597296653318251,0.0775193798449612,0.0069848661233993,"All","ElasticNet"
0.606485832600071,0.062015503875969,0.0069848661233993,"All","ElasticNet"
0.61567501188189,0.0542635658914729,0.00465657741559953,"All","ElasticNet"
0.624864191163709,0.0542635658914729,0.00465657741559953,"All","ElasticNet"
0.634053370445528,0.0542635658914729,0.00465657741559953,"All","ElasticNet"
0.643242549727348,0.0387596899224806,0.00232828870779977,"All","ElasticNet"
0.652431729009167,0.0310077519379845,0.00232828870779977,"All","ElasticNet"
0.661620908290986,0.0310077519379845,0.00232828870779977,"All","ElasticNet"
0.670810087572805,0.0155038759689922,0.00232828870779977,"All","ElasticNet"
0.679999266854625,0.0155038759689922,0.00232828870779977,"All","ElasticNet"
0.689188446136444,0.0155038759689922,0.00116414435389988,"All","ElasticNet"
0.698377625418263,0.0155038759689922,0.00116414435389988,"All","ElasticNet"
0.707566804700082,0.0155038759689922,0.00116414435389988,"All","ElasticNet"
