estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
XGB,0.5102880658436214,0.9460972131230495,0.9972602739726028,0.1452850762738926,20,,0.1,,0,,,,,,,,,
XGB,0.5102880658436214,0.946097196806057,0.9972602739726028,0.14528501544921416,12,,0.1,,0.01,,,,,,,,,
XGB,0.5102880658436214,0.9455642033941416,1.0,0.14512649797340008,6,,0.05,,0,,,,,,,,,
XGB,0.5020576131687243,0.9452920324935722,1.0,0.14778948347169577,6,,0.05,,0.1,,,,,,,,,
XGB,0.5102880658436214,0.945291736135373,1.0,0.14503688758666805,6,,0.05,,0.001,,,,,,,,,
XGB,0.4958677685950413,0.9452120956692666,1.0,0.1498098975666598,6,,0.05,,0.01,,,,,,,,,
XGB,0.5102880658436214,0.9450116933990864,0.9972602739726028,0.14493878149192535,12,,0.1,,0.1,,,,,,,,,
XGB,0.49792531120331945,0.9445928964834804,0.9972602739726028,0.14891114910690814,20,,0.1,,0.01,,,,,,,,,
XGB,0.49792531120331945,0.9445914118750259,0.9972602739726028,0.1489157751544514,20,,0.1,,0.001,,,,,,,,,
XGB,0.4916666666666667,0.9445104981191736,0.9972602739726028,0.15096966464794986,20,,0.1,,0.5,,,,,,,,,
XGB,0.49792531120331945,0.9443234566371832,0.9972451790633609,0.14881801625487387,12,,0.1,,0,,,,,,,,,
XGB,0.49792531120331945,0.944320478786063,0.9972451790633609,0.14881207750195233,12,,0.1,,0.001,,,,,,,,,
XGB,0.4916666666666667,0.9436901225075411,0.9972602739726028,0.15069318226039136,20,,0.1,,0.1,,,,,,,,,
XGB,0.4705882352941176,0.9424072244542598,1.0,0.15729401438687154,6,,0.05,,0.5,,,,,,,,,
XGB,0.48535564853556484,0.9417084062652881,0.9972451790633609,0.1521596195893619,12,,0.1,,0.5,,,,,,,,,
XGB,0.5041322314049588,0.9398127477430812,0.9918256130790191,0.1452857517113855,20,,1,,0.1,,,,,,,,,
XGB,0.4916666666666667,0.9385791848532433,0.9945054945054945,0.14905141740025754,20,,1,,0,,,,,,,,,
XGB,0.47499999999999987,0.9379616089279595,0.9918256130790191,0.15433201513948214,20,,1,,0.01,,,,,,,,,
XGB,0.4916666666666667,0.9377662375825304,0.9917808219178083,0.14876606702075829,20,,1,,0.001,,,,,,,,,
XGB,0.49382716049382713,0.9376953822609517,0.994535519125683,0.1480135415987086,20,,1,,0.5,,,,,,,,,
XGB,0.42608695652173906,0.9376950038126486,1.0,0.17057924359915438,6,,0.1,,0.01,,,,,,,,,
XGB,0.5102880658436214,0.937495427507179,0.994535519125683,0.14251697213377618,12,,1,,0.5,,,,,,,,,
XGB,0.4661016949152542,0.9373516257351879,0.994535519125683,0.15712872799565603,12,,1,,0.1,,,,,,,,,
RandomForestClassifier,0.7809523809523811,0.9361965737397503,0.972972972972973,0.05258662358436374,6,16,,,,,,,,,,,,
XGB,0.4035087719298246,0.9357052423818535,1.0,0.17742995670460754,6,,0.1,,0.001,,,,,,,,,
XGB,0.3964757709251101,0.9355453713869654,1.0,0.17971450722994003,6,,0.1,,0.1,,,,,,,,,
XGB,0.45299145299145294,0.9355016427938327,0.9972451790633609,0.16089148889600743,12,,1,,0,,,,,,,,,
XGB,0.45299145299145294,0.9355016427938327,0.9972451790633609,0.16089148889600743,12,,1,,0.001,,,,,,,,,
XGB,0.4035087719298246,0.935432775123085,1.0,0.17734152191418895,6,,0.1,,0,,,,,,,,,
XGB,0.45957446808510644,0.9353410211966813,0.9918256130790191,0.15860723339390143,12,,1,,0.01,,,,,,,,,
XGB,0.38392857142857145,0.9345646568768734,1.0,0.18357410425211057,6,,0.1,,0.5,,,,,,,,,
XGB,0.4510638297872341,0.9315629315381011,0.9918256130790191,0.16026032534947354,6,,1,,0.5,,,,,,,,,
XGB,0.43103448275862066,0.9314629032277401,1.0,0.16693329016979852,6,,1,,0,,,,,,,,,
XGB,0.43103448275862066,0.9314540292055623,0.9972451790633609,0.1669081479225776,6,,1,,0.001,,,,,,,,,
XGB,0.42241379310344823,0.9303254781476085,0.9972451790633609,0.16942426636470237,6,,1,,0.01,,,,,,,,,
XGB,0.4170212765957446,0.9303137466930098,0.9972451790633609,0.17118625749912705,6,,1,,0.1,,,,,,,,,
XGB,0.32407407407407407,0.9285641517942521,1.0,0.2015194021731133,3,,0.1,,0.1,,,,,,,,,
XGB,0.3004694835680751,0.9262036927436521,1.0,0.20860000839999954,3,,0.1,,0.001,,,,,,,,,
XGB,0.3004694835680751,0.9262036927436521,1.0,0.20860000839999954,3,,0.1,,0.01,,,,,,,,,
XGB,0.3004694835680751,0.9262036927436521,1.0,0.20860000839999954,3,,0.1,,0,,,,,,,,,
XGB,0.3004694835680751,0.9256707776673858,1.0,0.20844245547731338,3,,0.1,,0.5,,,,,,,,,
GradientBoostingClassifier,0.32407407407407407,0.924749337603099,0.9972451790633609,0.20027105196451722,,128,0.05,,,,,,,,,,,
XGB,0.34703196347031967,0.9245944226934194,0.9972451790633609,0.19261456816191527,3,,0.05,,0.001,,,,,,,,,
XGB,0.34703196347031967,0.9245944226934194,0.9972451790633609,0.19261456816191527,3,,0.05,,0.01,,,,,,,,,
XGB,0.34703196347031967,0.9245944226934194,0.9972451790633609,0.19261456816191527,3,,0.05,,0.5,,,,,,,,,
XGB,0.34703196347031967,0.9245944226934194,0.9972451790633609,0.19261456816191527,3,,0.05,,0.1,,,,,,,,,
XGB,0.34703196347031967,0.9245944226934194,0.9972451790633609,0.19261456816191527,3,,0.05,,0,,,,,,,,,
XGB,0.33789954337899547,0.921360425646481,0.9972451790633609,0.19462889630417476,3,,1,,0,,,,,,,,,
XGB,0.33789954337899547,0.921360425646481,0.9972451790633609,0.19462889630417476,3,,1,,0.001,,,,,,,,,
XGB,0.3302752293577982,0.9210996224557603,0.9917808219178083,0.19700721747504799,3,,1,,0.1,,,,,,,,,
XGB,0.33789954337899547,0.9200200512551054,0.9972451790633609,0.19417709392512209,3,,1,,0.01,,,,,,,,,
AdaBoostClassifier,0.4242424242424242,0.9188080126351237,0.9837837837837838,0.1650287819888936,,128,0.5,,,,,,,,,,,
GradientBoostingClassifier,0.3004694835680751,0.9183916514007816,0.9972451790633609,0.20605653471058677,,128,0.5,,,,,,,,,,,
GradientBoostingClassifier,0.3004694835680751,0.918360875602348,0.9945054945054945,0.20606170115626576,,32,0.5,,,,,,,,,,,
XGB,0.6405693950177936,0.9182768343908319,0.9623655913978495,0.09309380344234404,20,,0.001,,0.1,,,,,,,,,
XGB,0.6456140350877193,0.9180964399869577,0.9597855227882036,0.09129022504186299,12,,0.001,,0.5,,,,,,,,,
XGB,0.6334519572953736,0.9178676001562085,0.9623655913978495,0.09530821474989022,20,,0.001,,0.5,,,,,,,,,
XGB,0.6382978723404256,0.9175299624747225,0.9623655913978495,0.0935722872279454,20,,0.001,,0.01,,,,,,,,,
XGB,0.6382978723404256,0.917343038459397,0.9597855227882036,0.09347986259147868,12,,0.001,,0.1,,,,,,,,,
XGB,0.6360424028268551,0.9173044155233654,0.9623655913978495,0.0942453748107365,20,,0.001,,0.001,,,,,,,,,
XGB,0.6360424028268551,0.9173044155233654,0.9623655913978495,0.0942453748107365,20,,0.001,,0,,,,,,,,,
XGB,0.6382978723404256,0.9170868323817576,0.9619565217391304,0.0934136426982843,12,,0.001,,0.01,,,,,,,,,
XGB,0.6360424028268551,0.9168612854304005,0.9619565217391304,0.09408680292701402,12,,0.001,,0.001,,,,,,,,,
