estimator,min_score,mean_score,max_score,std_score,max_depth,n_estimators,learning_rate,C,gamma,kernel,coef0,degree,n_neighbors,weights,alpha,l1_ratio,loss,penalty
SVC,0.9770992366412213,0.9892185291742029,0.9974025974025974,0.006097234546591851,,,,10,,poly,0.5,5,,,,,,
SVC,0.9820971867007673,0.989198915727744,0.9948186528497409,0.004225033435347112,,,,10,0.001,rbf,,,,,,,,
XGB,0.9433962264150945,0.9891795492602743,1.0,0.015843478192749578,3,,0.1,,0.5,,,,,,,,,
XGB,0.9369863013698632,0.989060677150005,1.0,0.01806439049295826,3,,1,,0.01,,,,,,,,,
XGB,0.9574468085106383,0.9890381237930294,0.9974025974025974,0.011390561010583826,20,,0.05,,0.01,,,,,,,,,
RandomForestClassifier,0.9572192513368983,0.9890061634373966,0.9974025974025974,0.010988260985866367,12,8,,,,,,,,,,,,
SVC,0.9746192893401014,0.9889625940648813,0.9948186528497409,0.005984917597463386,,,,1,,poly,0.5,3,,,,,,
XGB,0.9408602150537634,0.9889285879989146,1.0,0.016656617888847147,20,,1,,0.01,,,,,,,,,
XGB,0.9369863013698632,0.9888075626552453,1.0,0.018107120240611643,3,,1,,0,,,,,,,,,
XGB,0.9369863013698632,0.9888075626552453,1.0,0.018107120240611643,3,,1,,0.001,,,,,,,,,
XGB,0.9574468085106383,0.9887837045843793,0.9974025974025974,0.011401551450526024,20,,0.05,,0.1,,,,,,,,,
XGB,0.9574468085106383,0.9887823587799247,0.9974025974025974,0.011283105800358293,20,,0.05,,0.001,,,,,,,,,
BaggingClassifier,0.9569892473118279,0.9887261143840584,0.9974025974025974,0.011006623330026503,,32,,,,,,,,,,,,
GradientBoostingClassifier,0.9549071618037135,0.9885468855560291,0.9974025974025974,0.012577221736406472,,128,0.05,,,,,,,,,,,
XGB,0.9574468085106383,0.9885319289390122,0.9974025974025974,0.011578457776288582,6,,0.05,,0,,,,,,,,,
XGB,0.9574468085106383,0.9885319289390122,0.9974025974025974,0.011578457776288582,6,,0.05,,0.001,,,,,,,,,
XGB,0.9574468085106383,0.9885253101290935,0.9974025974025974,0.011231301638716483,20,,0.05,,0,,,,,,,,,
SVC,0.9696969696969697,0.9884783024797779,0.9974025974025974,0.007749176527175683,,,,1,,poly,0.5,5,,,,,,
SVC,0.9795918367346939,0.9884473814395832,0.9974025974025974,0.005475773557461936,,,,50,,poly,1,3,,,,,,
SVC,0.9795918367346939,0.9884473814395832,0.9974025974025974,0.005475773557461936,,,,10,,poly,1,3,,,,,,
SVC,0.9795918367346939,0.9884473814395832,0.9974025974025974,0.005475773557461936,,,,10,,poly,0.5,2,,,,,,
SVC,0.9795918367346939,0.9884473814395832,0.9974025974025974,0.005475773557461936,,,,50,,poly,0.5,2,,,,,,
XGB,0.9402173913043479,0.9883660587372063,1.0,0.01715923063805676,3,,1,,0.1,,,,,,,,,
XGB,0.9574468085106383,0.9882775268505176,0.9974025974025974,0.01163537121024737,6,,0.05,,0.01,,,,,,,,,
XGB,0.960212201591512,0.9880399479917574,0.9974025974025974,0.010659930223596221,6,,0.05,,0.5,,,,,,,,,
RandomForestClassifier,0.9493333333333334,0.9879764346163222,0.9974025974025974,0.013622887377204363,12,16,,,,,,,,,,,,
XGB,0.9518716577540107,0.9879651987381616,0.9974025974025974,0.012585321863670739,12,,1,,0.5,,,,,,,,,
SVC,0.9721518987341772,0.9879577863042716,0.9948186528497409,0.0069570857554344,,,,1,,poly,1,3,,,,,,
SGDClassifier,0.9795918367346939,0.9879319279008738,0.9922480620155039,0.004810751676362751,,,,,,,,,,,0.01,0.1,hinge,elasticnet
XGB,0.9402173913043479,0.9875935253574404,1.0,0.016866692282326005,3,,1,,0.5,,,,,,,,,
SGDClassifier,0.9711286089238844,0.9873516989930525,0.9974025974025974,0.009134333107865643,,,,,,,,,,,0.0001,0.1,log,elasticnet
BaggingClassifier,0.9544235924932977,0.9871918900489961,0.9974025974025974,0.011896868790310008,,16,,,,,,,,,,,,
XGB,0.9465240641711229,0.9871891770405228,0.9974025974025974,0.014470115169851815,20,,1,,0.5,,,,,,,,,
GradientBoostingClassifier,0.9131652661064426,0.9871860456925985,1.0,0.025011720421929676,,128,0.5,,,,,,,,,,,
SGDClassifier,0.9770992366412213,0.9871711723193506,0.9974025974025974,0.005555041862653309,,,,,,,,,,,0.0001,0.9,hinge,elasticnet
SGDClassifier,0.9820971867007673,0.9871019941507072,0.9974025974025974,0.004452133150197197,,,,,,,,,,,0.0001,0.7,hinge,elasticnet
AdaBoostClassifier,0.9289617486338797,0.986726081796858,0.9974025974025974,0.020172029846642004,,128,0.5,,,,,,,,,,,
SGDClassifier,0.9672544080604535,0.9867047694968873,0.9948186528497409,0.007999242983485543,,,,,,,,,,,0.0001,0.9,log,elasticnet
SVC,0.9770992366412213,0.9866688450302536,0.9922480620155039,0.005392179129141732,,,,1,,poly,0.5,2,,,,,,
SVC,0.9770992366412213,0.9866649608182108,0.9922480620155039,0.005026611825211672,,,,1,,poly,1,2,,,,,,
GradientBoostingClassifier,0.9518716577540107,0.9864425553262806,0.9948186528497409,0.012479992746911294,,16,0.5,,,,,,,,,,,
BaggingClassifier,0.946236559139785,0.9861016523131754,0.9948186528497409,0.013913193665373186,,8,,,,,,,,,,,,
GradientBoostingClassifier,0.9369863013698632,0.9859887505927256,0.9974025974025974,0.017366536730987675,,32,0.5,,,,,,,,,,,
SGDClassifier,0.9653333333333333,0.9859668755781893,0.9974025974025974,0.009325147320190123,,,,,,,,,,,0.0001,0.7,log,elasticnet
GradientBoostingClassifier,0.925207756232687,0.9858249017552347,1.0,0.020795028037795628,,32,1,,,,,,,,,,,
GradientBoostingClassifier,0.9096045197740112,0.9857963723730275,0.9974025974025974,0.025673844006670724,,128,1,,,,,,,,,,,
SVC,0.9770992366412213,0.9856550723267317,0.9922480620155039,0.005323000774507891,,,,50,,poly,1,2,,,,,,
SVC,0.9770992366412213,0.9856550723267317,0.9922480620155039,0.005323000774507891,,,,10,,poly,1,2,,,,,,
XGB,0.9606299212598425,0.9855579962348809,0.9974025974025974,0.011032444108693628,3,,0.05,,0.5,,,,,,,,,
XGB,0.9631578947368422,0.9855459251000406,0.9948186528497409,0.009896132915390207,3,,0.05,,0.001,,,,,,,,,
XGB,0.9631578947368422,0.9855459251000406,0.9948186528497409,0.009896132915390207,3,,0.05,,0.01,,,,,,,,,
XGB,0.9631578947368422,0.9855459251000406,0.9948186528497409,0.009896132915390207,3,,0.05,,0,,,,,,,,,
XGB,0.9631578947368422,0.9855459251000406,0.9948186528497409,0.009896132915390207,3,,0.05,,0.1,,,,,,,,,
SGDClassifier,0.9533678756476685,0.9855075790367328,0.9974025974025974,0.012308995376707649,,,,,,,,,,,0.0001,0.1,hinge,elasticnet
SVC,0.9770992366412213,0.984900858112127,0.9922480620155039,0.005693300756330481,,,,50,,poly,5,5,,,,,,
SVC,0.9770992366412213,0.984900858112127,0.9922480620155039,0.005693300756330481,,,,1,,poly,5,5,,,,,,
SVC,0.9770992366412213,0.984900858112127,0.9922480620155039,0.005693300756330481,,,,10,,poly,5,5,,,,,,
GradientBoostingClassifier,0.923076923076923,0.9845847645977797,0.9974025974025974,0.021032792674542826,,16,1,,,,,,,,,,,
SGDClassifier,0.9721518987341772,0.983881570042296,0.9922480620155039,0.00538454673498853,,,,,,,,,,,0.01,0.1,log,elasticnet
SGDClassifier,0.9672544080604535,0.9836619459313386,0.9922480620155039,0.007356760141233221,,,,,,,,,,,0.0001,0.95,log,elasticnet
SGDClassifier,0.9648241206030151,0.982899740448033,0.9896907216494846,0.006861860237207403,,,,,,,,,,,0.0001,0.95,hinge,elasticnet
SVC,0.9721518987341772,0.9826341833174638,0.9896907216494846,0.005804740826113437,,,,1,,poly,5,2,,,,,,
SGDClassifier,0.9696969696969697,0.9823900548873613,0.9922480620155039,0.006387675629908744,,,,,,,,,,,0.0001,1,log,elasticnet
SVC,0.9746192893401014,0.9823734383203128,0.9896907216494846,0.004957207839680562,,,,50,0.0001,rbf,,,,,,,,
SVC,0.9770992366412213,0.982369593339927,0.9896907216494846,0.004561646179831645,,,,50,,poly,5,3,,,,,,
SVC,0.9770992366412213,0.982369593339927,0.9896907216494846,0.004561646179831645,,,,10,,poly,5,3,,,,,,
SVC,0.9770992366412213,0.982369593339927,0.9896907216494846,0.004561646179831645,,,,1,,poly,5,3,,,,,,
SGDClassifier,0.9648241206030151,0.9816547873839557,0.9974025974025974,0.008058877497644048,,,,,,,,,,,0.0001,0.99,log,elasticnet
AdaBoostClassifier,0.895184135977337,0.9812827629440299,0.9974025974025974,0.029063265869603488,,128,1.0,,,,,,,,,,,
SGDClassifier,0.9672544080604535,0.9811435111049416,0.9896907216494846,0.006989555582763517,,,,,,,,,,,0.0001,0.9,log,l1
SGDClassifier,0.9696969696969697,0.981117838178476,0.9896907216494846,0.005948156130042954,,,,,,,,,,,0.0001,1,hinge,elasticnet
SGDClassifier,0.9721518987341772,0.9808648048250135,0.9922480620155039,0.0056399826996145885,,,,,,,,,,,0.0001,0.99,log,l1
SGDClassifier,0.9648241206030151,0.9806461031942373,0.9922480620155039,0.007233635796686737,,,,,,,,,,,0.0001,0.99,hinge,elasticnet
SGDClassifier,0.9721518987341772,0.9806413301915476,0.9896907216494846,0.006926434862962619,,,,,,,,,,,0.0001,0.95,hinge,l1
SGDClassifier,0.968586387434555,0.980518659660075,0.9896907216494846,0.006247254606088106,,,,,,,,,,,0.01,0.5,hinge,elasticnet
SGDClassifier,0.9648241206030151,0.9803853077393871,0.987146529562982,0.006485921463785021,,,,,,,,,,,0.0001,0.7,hinge,l1
SGDClassifier,0.9672544080604535,0.9803777622568663,0.987146529562982,0.005898052664877277,,,,,,,,,,,0.0001,0.1,hinge,l1
RandomForestClassifier,0.9648241206030151,0.9803676791758573,0.9948186528497409,0.0086107889584378,6,128,,,,,,,,,,,,
GradientBoostingClassifier,0.9175824175824177,0.9801792584360023,0.9948186528497409,0.02132942906004472,,8,1,,,,,,,,,,,
SGDClassifier,0.9696969696969697,0.9801209683463394,0.9896907216494846,0.005336517548749719,,,,,,,,,,,0.0001,0.95,log,l1
AdaBoostClassifier,0.9180327868852458,0.9800185679529415,1.0,0.021530496730199366,,32,1.0,,,,,,,,,,,
SVC,0.9721518987341772,0.9796250272321231,0.9896907216494846,0.005705631019495226,,,,50,,poly,5,2,,,,,,
SVC,0.9721518987341772,0.9796250272321231,0.9896907216494846,0.005705631019495226,,,,10,,poly,5,2,,,,,,
SGDClassifier,0.9746192893401014,0.9795849630330205,0.987146529562982,0.0037138491949032714,,,,,,,,,,,0.0001,0.9,hinge,l1
