"","ID","prMean","tMean","elev","NAME","simpName","sensPr","sensTmean","sensBoth"
"1",1,220.370875603772,6.51894513550146,1931.18742319941,"Blacks Fork","BlacksFork",-0.141158828525833,-0.0143282673347748,-0.155487095860608
"2",2,317.561200993315,7.62349317344921,1382.83211736031,"Buffalo","Buffalo",-0.01099403496954,0.119849642225148,0.108855607255608
"3",3,219.792804020297,5.00785018647342,2151.15045138008,"Continental Divide","ContinentalDivide",-0.0722968485770891,0.0425033624085715,-0.0297934861685176
"4",4,262.404470873038,5.595126579208,1913.82431768961,"Crowheart","Crowheart",-0.030586964322431,-0.00489852922010107,-0.035485493542532
"5",5,341.335625520156,1.8874641221075,2267.64554199472,"Daniel","Daniel",0.00996045298130347,0.125459288954842,0.135419741936146
"6",6,339.911048619583,7.6638926658273,1561.01779240074,"Douglas","Douglas",0.0121251839934363,0.0238538306970625,0.0359790146904987
"7",7,218.508246825138,7.45489339968614,1463.34603923895,"Elk Basin East","ElkBasinEast",-0.0533057759745352,-0.055050923114263,-0.108356699088798
"8",8,229.327111291368,7.64729638284356,1323.89269139141,"Elk Basin West","ElkBasinWest",0.0640308552793871,0.0136329344986056,0.0776637897779927
"9",9,352.882011662905,3.26110954233571,2240.5827260645,"Fontenelle","Fontenelle",-0.0318928830626298,0.0676457931329851,0.0357529100703553
"10",10,328.623479052443,6.04644282409817,1895.77397247181,"Grass Creek","GrassCreek",-0.0455939638392497,0.0443356104048493,-0.00125835343440035
"11",11,275.203688900572,2.69137854371022,2202.60270776023,"Greater South Pass 1","GreaterSouthPass1",-0.0804117105505242,0.0790376025030984,-0.00137410804742582
"12",12,306.848365024965,6.06009592616943,2086.86883828054,"Hanna","Hanna",-0.0255549403183165,0.0323438451946623,0.00678890487634585
"13",13,281.023310312853,6.76357737506055,1657.65979021938,"Heart Mountain","HeartMountain",0.0151255971177223,0.128563675399456,0.143689272517178
"14",14,354.274353243711,7.74563542768758,1569.02509850236,"Hyattville","Hyattville",0.0229856448642704,0.0844559540392725,0.107441598903543
"15",15,575.011953271691,2.39557802467466,2171.51493201778,"Jackson","Jackson",-0.0257544211233184,-0.11885026394805,-0.144604685071369
"16",16,384.125117443956,6.44692585553727,1775.45924608735,"Little Mountain","LittleMountain",-0.20110602253489,-0.0665161447283179,-0.267622167263207
"17",17,373.941718733684,5.17078479885794,2092.89373450842,"Natrona 1","Natrona1",-0.0960812021160994,-0.0159709133539526,-0.112052115470052
"18",18,342.96403700763,7.98559342413846,1265.35768495663,"Newcastle","Newcastle",0.0540735261571702,0.0800512075987355,0.134124733755906
"19",19,370.479756582634,7.53482389867891,1180.50272268655,"North Gillette","NorthGillette",-0.00231103743108578,-0.178975710166097,-0.181286747597183
"20",20,345.296787606379,6.97682510135772,1754.96315493899,"North Glenrock","NorthGlenrock",-0.18116589351679,0.0333701089536649,-0.147795784563125
"21",21,350.222723765907,5.1508268351191,2199.94241424068,"North Laramie","NorthLaramie",0.0420417132373825,0.0132528844405772,0.0552945976779597
"22",22,252.591488205973,6.9363975021437,1636.48479426368,"Oregon Basin","OregonBasin",-0.0188025204555622,0.0985854118186063,0.0797828913630441
"23",23,337.099626487584,4.43721970877961,2144.39568420023,"Sage","Sage",-0.0902845194277838,-0.00674344571016961,-0.0970279651379534
"24",24,201.254617417894,5.10229300149009,1980.37127476077,"Seedskadee","Seedskadee",0.552517638073734,-0.832606303063075,-0.280088664989342
"25",25,372.199097787922,7.31842547226702,1641.09707606462,"Shell","Shell",-0.111723906901028,-0.00793839626796112,-0.119662303168989
"26",26,435.230313654516,5.35770579306438,2241.75528105869,"South Rawlins","SouthRawlins",-0.11097158840662,0.00719386086907451,-0.103777727537546
"27",27,282.712702445408,5.16220038869933,2279.53847512379,"Salt Wells","SaltWells",-0.0110520973560986,0.0772548175239339,0.0662027201678352
"28",28,314.191423291734,7.29196735728976,1603.39292439942,"Thermopolis","Thermopolis",-0.000960731420388106,0.00233918124690586,0.00137844982651775
"29",29,339.600798890775,7.63983699084896,1364.55297578459,"Thunder Basin","ThunderBasin",0.0664699918981329,0.0769413614234198,0.143411353321553
"30",30,286.772585421381,5.05393070795622,2234.96909100501,"Uinta","Uinta",-0.0570918633032405,0.162964943146635,0.105873079843395
"31",31,331.1338009168,7.17016005915627,1601.66613117315,"Washakie","Washakie",-0.0192018677111767,0.00238847195787872,-0.016813395753298
"32",32,303.764368201783,6.00853536134535,2125.44182162621,"Powder","Powder",0.170788439631157,-0.269018222748588,-0.0982297831174307
"33",33,393.386954756788,4.19365970490132,2056.263646057,"Bear River","BearRiver",-0.1109929194193,-0.0184445095579615,-0.129437428977261
"34",34,308.453604616271,6.84479400633652,1884.38778983682,"Natrona 2","Natrona2",0.0526712908684823,0.0388736463366949,0.0915449372051773
"35",35,207.347432169665,4.19668016825952,2064.28812570581,"Greater South Pass 2","GreaterSouthPass2",-0.0797496942557125,0.0390120073493708,-0.0407376869063417
"36",36,303.099203250992,5.31459208803037,2045.50286407621,"Greater South Pass 3","GreaterSouthPass3",-0.0596202044198473,0.0359371319398008,-0.0236830724800465
"37",37,244.352614566608,6.46556495392395,1936.64142924425,"Greater South Pass 4","GreaterSouthPass4",-0.0102288914656308,0.109155725633198,0.0989268341675674
"38",38,248.055807989577,5.69111056140413,2113.41846094193,"Greater South Pass 5","GreaterSouthPass5",-0.0648933870237499,0.00334679181387205,-0.0615465952098778
"39",39,306.483736252308,7.16741319550484,1691.56119076684,"Natrona 3","Natrona3",0.00519719675205171,-0.0215566607114902,-0.0163594639594385
